r_knee_range,l_knee_range,r_knee_avg,l_knee_avg,knee_asymmetry,r_hip_range,l_hip_range,r_hip_avg,l_hip_avg,hip_asymmetry,r_ankle_avg,l_ankle_avg,torso_angle_mean,torso_angle_max,hip_y_range,knee_depth_left,knee_depth_right,knee_width_mean,hip_width_mean,frames,label
104.88608512465589,93.80392321114925,141.71452425700988,143.78560186797608,7.595964498421745,112.18441115882295,113.05175830035928,143.0703573682246,139.27862971707208,5.103453755874139,163.34870187938787,164.2450873582803,18.685325531474906,50.06361685730687,64.0,307.0,311.0,15.10344827586207,17.689655172413794,29,shallow_depth
67.95632591950574,56.4994068361075,167.15852592590298,168.5732818393761,4.296325240001087,39.30133263176427,37.482041249845,171.38781476999458,171.10801922895033,3.212749328617639,173.8177657942346,171.85146557530018,2.78850739639123,11.725112040665161,24.5,306.0,309.0,20.457142857142856,24.65714285714286,35,shallow_depth
105.89796270970784,100.22314014015824,159.59480217063094,163.3585840074979,4.460590429135291,67.70420020703715,63.184426968151314,167.36658588030116,170.4001124911515,3.863209651945561,167.4842796139998,167.22731344843697,4.663047039492586,20.67906335797296,49.5,309.0,311.0,28.7,33.86666666666667,30,shallow_depth
36.11761473054,37.99837853108258,169.82548973172422,173.23214856015895,4.573930035337876,19.28026030710447,20.90733321450486,174.26711830650316,172.3586332261602,4.849558946045505,172.80541264749576,173.52190434442784,3.02071273567518,8.397302623258446,9.0,309.0,313.0,34.75,42.85,20,shallow_depth
69.00425092227756,62.13062325612454,162.9944048676461,154.19447182669495,9.650501258009154,46.976672274068676,31.595580389868076,164.89551048136346,156.46513117840306,8.967134712323677,172.03891973093488,167.97188289783648,7.664710176389885,12.901072772458475,46.0,294.0,293.0,20.096774193548388,16.06451612903226,31,shallow_depth
71.65589093751993,72.02107664633617,155.43747669631563,152.49932050522142,5.425022685083248,40.09488672550776,28.7359956809633,159.29936126796093,154.30500674298986,5.563756120131883,169.47327852362616,168.23643330948346,8.188728801984084,12.329749663059467,40.5,295.0,295.0,12.75,11.5625,16,shallow_depth
106.07385967469934,88.23459205025404,163.05503994612135,159.8900672701941,8.39571230596122,69.8072331662428,52.15300648077023,160.68334699607132,155.7481735555664,7.4747316665154875,173.08425862585747,171.00856424135668,10.641287072648998,14.115054695116,70.0,287.0,285.0,19.458333333333332,20.166666666666668,24,shallow_depth
123.32453281883761,107.70814943376163,145.5411341964484,140.90429220446924,6.477377878722954,75.97963123034414,66.0290435566949,150.055754740492,147.110784754703,4.4767326082197085,163.33262287801912,160.135082802111,12.880607086000703,18.434948839646804,62.0,291.0,291.0,16.235294117647058,16.058823529411764,17,shallow_depth
136.5559322364622,128.18622582208178,147.4146817851322,141.06345743458434,11.199967629519668,108.64988672166835,104.02369725319437,147.97166786923364,142.02616876456662,7.542525579317099,165.84946325603673,164.2860708216616,13.452308096720621,33.774202246257275,84.5,292.0,292.0,17.210526315789473,12.421052631578947,19,shallow_depth
114.35989718727608,110.02914739713405,133.36996997766622,132.5768098924025,5.167366212800742,98.12859716446742,95.76164579239104,134.20932448048515,131.99393894906814,4.351473639339448,160.61250226287595,159.89273343187548,19.558403913164106,40.088211834987064,70.0,291.0,290.0,11.545454545454545,12.409090909090908,22,shallow_depth
118.85636224099045,116.5099381550819,146.75491728469825,143.87186380796697,5.895136524106916,102.68980918223045,106.87322299820707,147.80530220214513,144.02763435839861,5.6164072419439215,164.96414544854065,162.93235009760457,15.4296157489063,42.251911827074,56.0,292.0,292.0,15.68421052631579,16.210526315789473,19,shallow_depth
21.03118285715513,24.025377064716594,175.54960886256433,169.68872207964102,6.390626903057719,31.36847265898794,27.634279483525575,173.5495255337607,169.9901303172211,4.005575765152059,177.43412325077122,172.30281856558096,6.144704374553241,18.138082174702113,9.0,315.0,319.0,26.157894736842106,25.157894736842106,19,correct
